data,grupo,valor
2024-12-01,3.Artigos de residência,0.67
2024-12-01,4.Vestuário,1.13
2024-12-01,5.Transportes,0.54
2024-12-01,6.Saúde e cuidados pessoais,0.24
2024-12-01,7.Despesas pessoais,0.77
2024-12-01,8.Educação,0.13
2024-12-01,9.Comunicação,0.42
2025-01-01,1.Alimentação e bebidas,0.99
2025-01-01,2.Habitação,-3.46
2025-01-01,3.Artigos de residência,-0.06
2025-01-01,4.Vestuário,-0.11
2025-01-01,5.Transportes,1.13
2025-01-01,6.Saúde e cuidados pessoais,0.78
2025-01-01,7.Despesas pessoais,0.49
2025-01-01,8.Educação,0.3
2025-01-01,9.Comunicação,-0.17
2025-02-01,1.Alimentação e bebidas,0.75
2025-02-01,2.Habitação,4.79
2025-02-01,3.Artigos de residência,0.44
2025-02-01,4.Vestuário,-0.07
2025-02-01,5.Transportes,1.11
2025-02-01,6.Saúde e cuidados pessoais,0.54
2025-02-01,7.Despesas pessoais,0.09
2025-02-01,8.Educação,4.45
2025-02-01,9.Comunicação,0.17
2025-03-01,1.Alimentação e bebidas,1.08
2025-03-01,2.Habitação,0.21
2025-03-01,3.Artigos de residência,0.21
2025-03-01,4.Vestuário,0.46
2025-03-01,5.Transportes,0.26
2025-03-01,6.Saúde e cuidados pessoais,0.44
2025-03-01,7.Despesas pessoais,0.7
2025-03-01,8.Educação,0.08
2025-03-01,9.Comunicação,0.19
2025-04-01,1.Alimentação e bebidas,0.76
2025-04-01,2.Habitação,0.12
2025-04-01,3.Artigos de residência,0.49
2025-04-01,4.Vestuário,0.86
2025-04-01,5.Transportes,-0.15
2025-04-01,6.Saúde e cuidados pessoais,1.24
2025-04-01,7.Despesas pessoais,0.64
2025-04-01,8.Educação,0.09
2025-04-01,9.Comunicação,0.63
2025-05-01,1.Alimentação e bebidas,0.26
2025-05-01,2.Habitação,1.33
2025-05-01,3.Artigos de residência,-0.25
2025-05-01,4.Vestuário,0.33
2025-05-01,5.Transportes,-0.19
2025-05-01,6.Saúde e cuidados pessoais,0.52
2025-05-01,7.Despesas pessoais,0.34
2025-05-01,8.Educação,0.04
2025-05-01,9.Comunicação,0.1
